state,winstate_inc,winstate_chal,voteshare_inc,voteshare_chal,voteshare_other,margin,state_turnout,actual,REP_votes,REP_won_counties,DEM_votes,DEM_won_counties,OTH_votes,OTH_won_counties,winner,share_REP,share_DEM,share_OTH,error_REP,error_DEM,error_OTH,error_TOT,projected_winner,right_wrong
Wyoming,0.998375,0.001625,65.7776,31.04658,3.175817,34.73101,274642,1,193559,21,73491,2,9715,0,Donald Trump,69.9362274854118,26.553574332014524,3.5101981825736637,4.158627485411799,-4.493005667985475,0.3343811825736638,8.651636153397261,Donald Trump,1
Wisconsin,0.056425,0.943575,45.37802,53.68898,0.9329966,-8.310961,3325739,0,1610184,58,1630866,14,56991,0,Joe Biden,48.822437319608824,49.44953686142774,1.7280258189634392,3.4444173196088244,-4.239443138572263,0.7950292189634393,7.683863858181088,Joe Biden,1
West Virginia,0.992825,0.007175,64.48556,33.77089,1.743553,30.71466,749616,1,545382,55,235984,0,13286,0,Donald Trump,68.63155192461606,29.696521244519612,1.671926830864328,4.145991924616055,-4.074368755480389,-0.07162616913567188,8.363610018367783,Donald Trump,1
Washington,0.00845,0.99155,37.00352,60.76666,2.229822,-23.76315,4429891,0,1584588,26,2369437,13,106269,0,Joe Biden,39.026435031551905,58.356291440964625,2.6172735274834777,2.0229150315519036,-2.4103685590353763,0.3874515274834778,4.433281590587285,Joe Biden,1
Virginia,0.009775,0.990225,43.28946,55.77469,0.9358491,-12.48523,4599938,0,1962430,87,2413568,46,84526,0,Joe Biden,43.99550366728214,54.109517177802424,1.8949791549154316,0.7060436672821382,-1.665172822197576,0.9591300549154316,2.3712173894797077,Joe Biden,1
Vermont,0.004025,0.995975,29.07018,67.17892,3.750889,-38.10874,346095,0,112704,45,242820,201,11904,0,Joe Biden,30.67376465593259,66.08641693066397,3.2398184134034427,1.6035846559325897,-1.0925030693360327,-0.5110705865965572,3.7182398984617366,Joe Biden,1
Utah,0.9544,0.0456,55.45525,41.69538,2.84937,13.75988,1355468,1,865140,26,560282,3,62867,0,Donald Trump,58.129839029919594,37.64604858330606,4.224112386774343,2.674589029919595,-4.0493314166939385,1.3747423867743431,6.723920446613533,Donald Trump,1
Texas,0.617525,0.382475,50.30484,48.78954,0.9056239,1.515306,12147223,1,5890347,232,5259126,22,168438,0,Donald Trump,52.04447181109659,46.467285349743435,1.488242839159983,1.7396318110965936,-2.3222546502565677,0.5826189391599829,4.06188256135317,Donald Trump,1
Tennessee,0.967525,0.032475,57.25942,41.55495,1.185626,15.70446,2851251,1,1852475,92,1143711,3,57665,0,Donald Trump,60.66029416628381,37.4514342710237,1.8882715626924822,3.4008741662838133,-4.103515728976298,0.7026455626924821,7.504393895260109,Donald Trump,1
South Dakota,0.948125,0.051875,57.79984,40.80887,1.391291,16.99097,412006,1,261043,60,150471,6,11095,0,Donald Trump,61.76938967225024,35.60525213613529,2.625358191614471,3.9695496722502384,-5.203617863864707,1.2340671916144708,9.173166536114948,Donald Trump,1
South Carolina,0.899975,0.100025,53.37519,45.88095,0.7438539,7.494247,2403887,1,1385103,33,1091541,13,36685,0,Donald Trump,55.11029395674024,43.430088142061784,1.4596179011979729,1.7351039567402395,-2.4508618579382144,0.7157640011979729,4.185971914678452,Donald Trump,1
Rhode Island,0.00085,0.99915,35.66851,62.93514,1.396348,-27.26663,512193,0,199837,11,306210,28,7580,0,Joe Biden,38.907027862631836,59.6171930213949,1.4757791159732647,3.238517862631838,-3.3179469786051,0.0794311159732648,6.55646684123694,Joe Biden,1
Pennsylvania,0.1569,0.8431,47.32639,51.97831,0.6953009,-4.651922,6840662,0,3378406,54,3460045,13,86001,0,Joe Biden,48.789507097456955,49.968502922686156,1.2419899798568899,1.4631170974569514,-2.0098070773138446,0.5466890798568899,3.4729232747707925,Joe Biden,1
Oregon,0.01845,0.98155,39.26668,58.69598,2.037339,-19.4293,2463087,0,958411,26,1340291,10,72477,0,Joe Biden,40.419175439728505,56.52424384662651,3.0565807136449843,1.1524954397285043,-2.1717361533734874,1.0192417136449845,3.324232593101993,Joe Biden,1
Oklahoma,0.994275,0.005725,62.08282,36.85556,1.061624,25.22726,1598023,1,1020280,77,503890,0,36529,0,Donald Trump,65.37327184806296,32.28617433598664,2.340553815950417,3.2904518480629577,-4.56938566401336,1.278929815950417,7.8598335120763325,Donald Trump,1
